[33m[nodemon] 3.1.14[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,cjs,json[39m
[32m[nodemon] starting `node src/index.js`[39m
[2026-04-26T07:31:01.439Z] [INFO] Backend listening on port 3001 [development] 
[2026-04-26T07:31:02.426Z] [INFO] MongoDB Connected: ac-xavhnxt-shard-00-00.waqgdw5.mongodb.net 
Running offline ML tile generation (full Tamil Nadu)...
[2026-04-26T07:31:02.434Z] [INFO] MongoDB Connected: ac-xavhnxt-shard-00-00.waqgdw5.mongodb.net 
Month: 4
Error during tile generation: connect ECONNREFUSED 127.0.0.1:8000
(node:2208) [MONGOOSE] Warning: mongoose: Duplicate schema index on {"firebaseUid":1} for model "User". This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(Use `node --trace-warnings ...` to show where the warning was created)
(node:2208) [MONGOOSE] Warning: mongoose: Duplicate schema index on {"batch_id":1} for model "Batch". This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:2208) [MONGOOSE] Warning: mongoose: Duplicate schema index on {"publicId":1} for model "Batch". This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
(node:2208) [MONGOOSE] Warning: mongoose: Duplicate schema index on {"beekeeperId":1} for model "Request". This is often due to declaring an index using both "index: true" and "schema.index()". Please remove the duplicate index definition.
[2026-04-26T07:31:14.498Z] [INFO] [2026-04-26T07:31:14.498Z] GET /health | user=anonymous | status=200 | 7ms 
[2026-04-26T07:33:13.746Z] [INFO] [2026-04-26T07:33:13.746Z] GET /health | user=anonymous | status=200 | 2ms 
[2026-04-26T07:33:14.535Z] [INFO] [2026-04-26T07:33:14.535Z] GET /api/hives | user=anonymous | status=304 | 720ms 
[2026-04-26T07:35:32.634Z] [INFO] [2026-04-26T07:35:32.634Z] GET /health | user=anonymous | status=200 | 2ms 
[2026-04-26T07:35:32.763Z] [INFO] [2026-04-26T07:35:32.763Z] GET /api/hives | user=anonymous | status=304 | 73ms 
[2026-04-26T07:35:35.272Z] [INFO] [2026-04-26T07:35:35.272Z] GET /health | user=anonymous | status=200 | 2ms 
[2026-04-26T07:35:35.381Z] [INFO] [2026-04-26T07:35:35.381Z] GET /api/hives | user=anonymous | status=304 | 72ms 
[2026-04-26T07:35:55.459Z] [INFO] [2026-04-26T07:35:55.459Z] GET /api/tile/8/181/117?month=4 | user=anonymous | status=200 | 36ms 
[2026-04-26T07:35:55.463Z] [INFO] [2026-04-26T07:35:55.463Z] GET /api/tile/8/181/119?month=4 | user=anonymous | status=200 | 35ms 
[2026-04-26T07:35:55.466Z] [INFO] [2026-04-26T07:35:55.466Z] GET /api/tile/8/181/118?month=4 | user=anonymous | status=200 | 37ms 
[2026-04-26T07:35:55.485Z] [INFO] [2026-04-26T07:35:55.485Z] GET /api/tile/8/181/120?month=4 | user=anonymous | status=200 | 55ms 
[2026-04-26T07:35:55.491Z] [INFO] [2026-04-26T07:35:55.491Z] GET /api/tile/8/181/122?month=4 | user=anonymous | status=200 | 57ms 
[2026-04-26T07:35:55.495Z] [INFO] [2026-04-26T07:35:55.495Z] GET /api/tile/8/181/121?month=4 | user=anonymous | status=200 | 62ms 
[2026-04-26T07:35:55.830Z] [INFO] [2026-04-26T07:35:55.830Z] GET /api/tile/8/182/117?month=4 | user=anonymous | status=200 | 38ms 
[2026-04-26T07:35:55.903Z] [INFO] [2026-04-26T07:35:55.903Z] GET /api/tile/8/182/119?month=4 | user=anonymous | status=200 | 99ms 
[2026-04-26T07:35:55.922Z] [INFO] [2026-04-26T07:35:55.922Z] GET /api/tile/8/182/121?month=4 | user=anonymous | status=200 | 105ms 
[2026-04-26T07:35:55.929Z] [INFO] [2026-04-26T07:35:55.929Z] GET /api/tile/8/182/122?month=4 | user=anonymous | status=200 | 109ms 
[2026-04-26T07:35:55.934Z] [INFO] [2026-04-26T07:35:55.934Z] GET /api/tile/8/182/120?month=4 | user=anonymous | status=200 | 128ms 
[2026-04-26T07:35:55.938Z] [INFO] [2026-04-26T07:35:55.938Z] GET /api/tile/8/182/118?month=4 | user=anonymous | status=200 | 135ms 
[2026-04-26T07:35:56.180Z] [INFO] [2026-04-26T07:35:56.180Z] GET /api/tile/8/183/117?month=4 | user=anonymous | status=200 | 29ms 
[2026-04-26T07:35:56.301Z] [INFO] [2026-04-26T07:35:56.301Z] GET /api/tile/8/183/118?month=4 | user=anonymous | status=200 | 71ms 
[2026-04-26T07:35:56.330Z] [INFO] [2026-04-26T07:35:56.330Z] GET /api/tile/8/183/119?month=4 | user=anonymous | status=200 | 92ms 
[2026-04-26T07:35:56.346Z] [INFO] [2026-04-26T07:35:56.346Z] GET /api/tile/8/183/122?month=4 | user=anonymous | status=200 | 86ms 
[2026-04-26T07:35:56.349Z] [INFO] [2026-04-26T07:35:56.349Z] GET /api/tile/8/183/121?month=4 | user=anonymous | status=200 | 91ms 
[2026-04-26T07:35:56.354Z] [INFO] [2026-04-26T07:35:56.354Z] GET /api/tile/8/183/120?month=4 | user=anonymous | status=200 | 98ms 
