lat,lon,month,temp,humidity,rainfall,NDVI,lat_lon,sin_lat,cos_lat
8.0,76.0,1,26.04,77.7,6.04,0.98,608.0,0.139173,0.990268
8.0,76.1,1,25.92,79.97,5.49,0.98,608.8,0.139173,0.990268
8.0,76.2,1,26.49,76.32,4.69,0.98,609.6,0.139173,0.990268
8.0,76.3,1,24.47,74.26,4.47,0.98,610.4,0.139173,0.990268
8.0,76.4,1,26.19,76.49,3.91,0.98,611.2,0.139173,0.990268
8.0,76.5,1,25.68,79.06,3.77,0.98,612.0,0.139173,0.990268
8.0,76.6,1,25.88,77.25,4.53,0.98,612.8,0.139173,0.990268
8.0,76.7,1,25.49,78.99,5.13,0.98,613.6,0.139173,0.990268
8.0,76.8,1,24.8,82.47,3.46,0.98,614.4,0.139173,0.990268
8.0,76.9,1,24.02,78.79,4.04,0.98,615.2,0.139173,0.990268
8.0,77.0,1,25.67,81.82,3.65,0.98,616.0,0.139173,0.990268
8.0,77.1,1,24.91,81.7,4.19,0.98,616.8,0.139173,0.990268
8.0,77.2,1,24.05,83.8,3.33,0.98,617.6,0.139173,0.990268
8.0,77.3,1,25.95,85.7,3.84,0.9627,618.4,0.139173,0.990268
8.0,77.4,1,25.23,84.73,3.71,0.9444,619.2,0.139173,0.990268
8.0,77.5,1,25.38,82.22,2.47,0.9338,620.0,0.139173,0.990268
8.0,77.6,1,26.52,84.78,3.61,0.9411,620.8,0.139173,0.990268
8.0,77.7,1,24.85,86.07,3.9,0.929,621.6,0.139173,0.990268
8.0,77.8,1,26.58,80.47,3.57,0.9189,622.4,0.139173,0.990268
8.0,77.9,1,25.08,86.19,2.18,0.9163,623.2,0.139173,0.990268
8.0,78.0,1,25.6,89.22,2.93,0.9097,624.0,0.139173,0.990268
8.0,78.1,1,24.94,88.29,3.37,0.9008,624.8,0.139173,0.990268
8.0,78.2,1,25.78,86.82,3.71,0.9032,625.6,0.139173,0.990268
8.0,78.3,1,25.16,85.98,2.5,0.901,626.4,0.139173,0.990268
8.0,78.4,1,25.68,86.88,3.13,0.9135,627.2,0.139173,0.990268
8.0,78.5,1,25.2,86.27,2.86,0.8939,628.0,0.139173,0.990268
8.0,78.6,1,25.92,90.8,3.37,0.9104,628.8,0.139173,0.990268
8.0,78.7,1,25.6,83.25,3.28,0.9172,629.6,0.139173,0.990268
8.0,78.8,1,27.7,86.75,3.46,0.9167,630.4,0.139173,0.990268
8.0,78.9,1,24.86,89.46,3.71,0.9176,631.2,0.139173,0.990268
8.0,79.0,1,25.13,90.02,2.65,0.9296,632.0,0.139173,0.990268
8.0,79.1,1,27.67,85.27,3.09,0.9292,632.8,0.139173,0.990268
8.0,79.2,1,25.58,84.18,3.44,0.9254,633.6,0.139173,0.990268
8.0,79.3,1,26.42,85.48,4.2,0.9133,634.4,0.139173,0.990268
8.0,79.4,1,25.84,88.98,2.84,0.9184,635.2,0.139173,0.990268
8.0,79.5,1,27.2,84.17,3.58,0.9321,636.0,0.139173,0.990268
8.0,79.6,1,26.84,84.95,2.86,0.934,636.8,0.139173,0.990268
